
prompt,expected_answer,domain_tag
What Bank of America did regulatory action related to anti-money-laundering programs in 2024 report?,a U.S. bank regulator issued a regulatory punishment over anti-money-laundering program shortcomings https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=A%20U,laundering%20programs.,legal
What Goldman Sachs did profit and EPS in Q4 2024 report?,"profit was $4.11 billion, or $11.95 per diluted share https://www.reuters.com/business/finance/goldman-sachs-profit-surges-investment-banking-trading-fuel-bumper-quarter-2025-01-15/#:~:text=NEW%20YORK%2C%20Jan%2015%20,traders%20benefited%20from%20active%20markets.",reports
Reuters reports that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower; is this accurate?,No credible sources report that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,risk
Reuters reports that JPMorgan committed a technology budget of $18 billion for 2025; is this accurate?,No credible sources report that JPMorgan committed a technology budget of $18 billion for 2025. https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,IT standards
Did Goldman Sachs really committed to purchase Apple's credit-card portfolio?,No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,news updates
Reuters reports that JPMorgan spun off its consumer bank into a separate company; is this accurate?,No credible sources report that JPMorgan spun off its consumer bank into a separate company. https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,news updates
"According to Reuters, what was JPMorgan's annual profit in 2024?",JPMorgan's profit for 2024 was $58.5 billion https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20profit%20for%202024%20rose,per%20share%2C%20a%20year%20earlier.,reports
What was the Bank of America for net interest income guidance for 2025 and where is it reported?,NII guidance was $14.5–$14.6 billion for Q1 2025 and $15.5–$15.7 billion for Q4 2025 https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%20expects%20NII%20of%20%2414,7%20billion.,reports
"How did Bank of America's wealth and investment management client balances at the end of 2024 change, according to Reuters?",client balances jumped 12% to a record $4.3 trillion https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%27s%20wealth%20and%20investment%20management,3%20trillion.,reports
Has Bank of America launched a program to triple minority representation by 2025?,No credible sources report that Bank of America launched a program to triple minority representation by 2025. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,HR
